Concept;Label;Language
https://kg.clinia.dev/taxo/default/Populations#70a8733e-01a2-42f2-a56f-94c04614d8bc;1 on 1 support;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#ee293a41-40f2-4b24-ac6b-4580a2568c0c;10 weeks and less ultrasound;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#434ae84f-ccab-46cf-a979-7a45bb7afae8;12-step facilitation therapy;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#434ae84f-ccab-46cf-a979-7a45bb7afae8;12-step programs;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#996d1715-a93a-4e8b-8d1e-0fd0f4350be6;18F PET bone scan;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#996d1715-a93a-4e8b-8d1e-0fd0f4350be6;18F bone PET;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#28dfad82-e31a-4f5d-96bc-682e363949ec;18F bone scan;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#996d1715-a93a-4e8b-8d1e-0fd0f4350be6;18F bone scan;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#38a951ae-d53b-4b1f-9e35-7fe23410255c;1st generation antipsychotics;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#be0e2da4-2449-4e4f-b474-cfcd39664cb8;2019 nCoV testing;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#d00e67ea-cb6f-47df-b701-dd9f5b82b77c;2D Doppler echocardiography;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#bc2b0deb-c5b7-4df0-9895-973d5c39cef0;2D echocardiography;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#998f6a23-ce79-494e-94e9-4244f85ad42b;2D ultrasound;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#91141a2d-0c7f-4249-82ac-a3b27a50cf12;2nd generation antipsychotics;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#e26e09bd-6c31-4770-a2c1-503d1da91f55;3D Imaging;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#6b49175a-4520-439b-9fc5-bcb8b10f22bc;3D Sonography;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#d915c91a-11dd-4452-9f46-3a97b5ec3a1d;3D dental imaging;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#f4f76f90-024f-4a71-ba16-f8cdd615f0fd;3D echocardiography;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#fcf0314e-72e1-403e-a597-5c769c41c5d2;3D fetal ultrasound;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#8b851f7b-a092-4f0d-a1b1-fc723e9c2fb9;3D mammography;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#fcf0314e-72e1-403e-a597-5c769c41c5d2;3D prenatal ultrasound;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#e26e09bd-6c31-4770-a2c1-503d1da91f55;3D reconstruction;en
https://kg.clinia.dev/taxo/default/ConditionsSymptomsFactors#b50037c9-699d-4709-9e6b-d7493168d807;46, XX disorder of sex development;en
https://kg.clinia.dev/taxo/default/ConditionsSymptomsFactors#6806e648-86fc-4221-85f0-513f1e879272;46,XY disorder of sex development ;en
