Address;Status-Code;Status-Text;Type;Size;Title;Date;Level;Links Out;Links In;Server;Error;Duration;Charset;Description
http://cliniqueazur.com/;200;ok;text/html;15720;Clinique Azur;20.05.2022  01:46:10;0;45;16;Microsoft-IIS/10.0;;00:00.300;;La Clinique Azur est une urgence (anciennement un sans rendez-vous) et un groupe de médecine famille (GMF) à Greenfield Park (Longueuil). Prenez un rendez-vous à partir de notre site Internet.
http://cliniqueazur.com/Emplois;200;ok;text/html;155;Emplois;;1;1;1;Microsoft-IIS/10.0;;00:00.188;utf-8;
http://cliniqueazur.com/Emplois/;200;ok;text/html;5910;Demandes d'emplois - Clinique Azur;10.02.2022  23:40:48;1;22;2;Microsoft-IIS/10.0;;00:00.104;;Demandes d'emploi à la clinique Azur
http://cliniqueazur.com/Localisation/;200;ok;text/html;8346;Localisation - Clinique Azur;20.02.2022  15:59:03;1;23;13;Microsoft-IIS/10.0;;00:00.157;;Localisation de la Clinique Azur
http://cliniqueazur.com/RendezVous/;200;ok;text/html;8676;Rendez-vous - Clinique Azur;20.02.2022  15:57:13;1;36;9;Microsoft-IIS/10.0;;00:00.186;;Prendre un rendez-vous à la clinique Azur
http://cliniqueazur.com/RendezVous/CliniqueVoyage/;200;ok;text/html;4997;Rendez-vous urgence - Clinique Azur;02.09.2021  01:17:42;1;22;12;Microsoft-IIS/10.0;;00:00.167;;Rendez-vous d'urgence à la clinique Azur
http://cliniqueazur.com/RendezVous/COVID/;200;ok;text/html;5247;Rendez-vous urgence - Clinique Azur;17.04.2021  01:12:50;3;23;1;Microsoft-IIS/10.0;;00:00.172;;Rendez-vous d'urgence à la clinique Azur
http://cliniqueazur.com/RendezVous/GMF/;200;ok;text/html;9144;Rendez-vous médecin de famille - Clinique Azur;02.09.2021  01:17:56;1;30;12;Microsoft-IIS/10.0;;00:00.196;;Rendez-vous avec votre médecin de famille du GMF Azur
http://cliniqueazur.com/RendezVous/PriseSang/;200;ok;text/html;5351;Rendez-vous urgence - Clinique Azur;02.09.2021  01:18:11;1;23;12;Microsoft-IIS/10.0;;00:00.194;;Rendez-vous d'urgence à la clinique Azur
http://cliniqueazur.com/RendezVous/Specialistes/;200;ok;text/html;8709;Rendez-vous spécialistes - Clinique Azur;20.05.2022  01:42:35;1;29;12;Microsoft-IIS/10.0;;00:00.092;;Rendez-vous avec un spécialiste à la clinique Azur
http://cliniqueazur.com/RendezVous/Urgence/;200;ok;text/html;7664;Rendez-vous urgence - Clinique Azur;02.09.2021  01:18:32;1;30;12;Microsoft-IIS/10.0;;00:00.083;;Rendez-vous d'urgence à la clinique Azur
http://cliniqueazur.com/RendezVous/UrgenceGMF/;200;ok;text/html;6211;Rendez-vous d'urgence avec votre médecin de famille - Clinique Azur;02.09.2021  01:22:54;1;25;9;Microsoft-IIS/10.0;;00:00.099;;Rendez-vous d'urgence pour patients du GMF Azur
http://cliniqueazur.com/Repertoire/;200;ok;text/html;12727;Répertoire - Clinique Azur;07.02.2022  18:00:14;1;23;12;Microsoft-IIS/10.0;;00:00.095;;Répertoire des intervenants médicaux de la clinique Azur
http://cliniquemedicale1851.com/;200;ok;text/html;18863;-;;0;57;;Apache;;00:00.238;utf-8;
http://cliniquemednam.com/;200;ok;text/html;129190;Accueil - Clinique MedNam Lachine;;0;97;1;LiteSpeed;;00:00.782;utf-8;Depuis 2015, la clinique MedNam Lachine offre une variété de services médicaux innovateurs accessibles à tous.
http://cliniqueviau.com/;200;ok;text/html;34880;Clinique Medical Viau;;0;32;3;Apache/2.4.46 (FreeBSD) PHP/7.4.18;;00:00.791;utf-8;
http://cliniqueviau.com/?p=17;200;ok;text/html;;;;2;1;1;Apache/2.4.46 (FreeBSD) PHP/7.4.18;;00:00.674;utf-8;
http://cliniqueviau.com/?p=18;200;ok;text/html;;;;2;1;1;Apache/2.4.46 (FreeBSD) PHP/7.4.18;;00:00.339;utf-8;
http://cliniqueviau.com/?p=81;200;ok;text/html;;;;2;1;1;Apache/2.4.46 (FreeBSD) PHP/7.4.18;;00:00.893;utf-8;
http://cliniqueviau.com/index.php/ou-nous-trouver-find-us-here/;200;ok;text/html;33863;"Où nous trouver / Find us here &#8211; Clinique Medical Viau";;1;32;4;Apache/2.4.46 (FreeBSD) PHP/7.4.18;;00:00.690;utf-8;
http://cliniqueviau.com/index.php/parternariats/;200;ok;text/html;33878;"Partenariats &#8211; Clinique Medical Viau";;1;32;4;Apache/2.4.46 (FreeBSD) PHP/7.4.18;;00:00.397;utf-8;
http://cliniqueviau.com/index.php/services/;200;ok;text/html;36046;"Services &#8211; Clinique Medical Viau";;1;35;4;Apache/2.4.46 (FreeBSD) PHP/7.4.18;;00:00.708;utf-8;
http://gmfrtr.ca/;200;ok;text/html;2586;GMF;05.04.2022  17:07:18;0;4;;Microsoft-IIS/8.5;;00:00.120;;
http://medicentrechomedey.com/;200;ok;text/html;19264;Médi-Centre Chomedey Laval - Clinique médicale - Suivi de grossesse;24.05.2022  17:00:58;0;61;20;Apache;;00:00.187;utf-8;Nous avons des disponibilités pour votre suivi de grossesse! Notre équipe de 7 médecins de famille accoucheurs sera heureuse de prendre en charge votre grossesse et de vous accompagner dans cette belle aventure qu’est la naissance de votre enfant.
http://medicentrechomedey.com/?p=10;200;ok;text/html;;;;2;1;1;Apache;;00:00.247;utf-8;
http://medicentrechomedey.com/?p=12;200;ok;text/html;;;;2;1;1;Apache;;00:00.268;utf-8;
http://medicentrechomedey.com/?p=14;200;ok;text/html;;;;2;1;1;Apache;;00:00.228;utf-8;
http://medicentrechomedey.com/?p=16;200;ok;text/html;;;;2;1;1;Apache;;00:00.243;utf-8;
http://medicentrechomedey.com/?p=18;200;ok;text/html;;;;2;1;1;Apache;;00:00.236;utf-8;
http://medicentrechomedey.com/?p=20;200;ok;text/html;;;;2;1;1;Apache;;00:00.265;utf-8;
http://medicentrechomedey.com/?p=41;200;ok;text/html;;;;2;1;1;Apache;;00:00.261;utf-8;
http://medicentrechomedey.com/?p=8;200;ok;text/html;;;;2;1;1;Apache;;00:00.233;utf-8;
http://medicentrechomedey.com/a-propos/;200;ok;text/html;18439;À propos - MédiCentre Chomedey Laval;24.05.2022  17:13:46;1;61;10;Apache;;00:00.129;utf-8;Le projet d’une nouvelle clinique médicale dans l’Ouest de Laval a vu le jour en 2001, chapeauté par 4 médecins visionnaires. Désirant mettre les soins aux patients et le travail d’équipe au premier plan, le MédiCentre Chomedey a été créé.
http://medicentrechomedey.com/en;200;ok;text/html;;"<img src=""http://medicentrechomedey.com/wp-content/themes/medicentre/images/logo.svg"" alt=""MédiCentre Chomedey Laval"" />";;2;1;9;Apache;;00:00.204;utf-8;
http://medicentrechomedey.com/medecine-familiale;200;ok;text/html;;accès adapté;;2;1;1;Apache;;00:00.209;utf-8;
http://medicentrechomedey.com/medecine-familiale/;200;ok;text/html;21679;Médecine familiale - MédiCentre Chomedey Laval;;1;63;11;Apache;;00:00.392;utf-8;La clinique de médecine familiale du deuxième étage accueille les patients inscrits à un médecin de famille du GMF MédiCentre Chomedey. Nous travaillons en collaboration avec une multitude de professionnels pour former une équipe dynamique qui saura prendre en charge l’ensemble de votre santé.
