Address;Status-Code;Status-Text;Type;Size;Title;Date;Level;Links Out;Links In;Server;Error;Duration;Charset;Description
https://www.inspq.qc.ca/;200;ok;text/html;495381;INSPQ | Institut national de santé publique du Québec | Centre d'expertise et de référence en santé publique au Québec;27.05.2022  17:47:06;0;813;676;cloudflare;;00:00.420;utf-8;"Institut national de santé publique du Québec | Centre d&#039;expertise et de référence en santé publique au Québec"
https://www.inspq.qc.ca/abonnement;12002;timeout;;;"                 S&#039;abonner au bulletin de veille                      ";;1;;607;;;00:00.000;utf-8;
https://www.inspq.qc.ca/accessibilite;12002;timeout;;;<span>Accessibilité</span>;;1;;342;;;00:00.000;utf-8;
https://www.inspq.qc.ca/accueil?msclkid=550167bcd08811ec83027546b837e566&page=1;12002;timeout;;;suivant ›;;1;;1;;;00:00.000;utf-8;
https://www.inspq.qc.ca/accueil?themekey-theme=mobile;12002;timeout;;;Version mobile;;1;;1;;;00:00.000;utf-8;
https://www.inspq.qc.ca/adaptation-aux-changements-climatiques;200;ok;text/html;493811;Adaptation aux changements climatiques | INSPQ;27.05.2022  18:18:49;1;796;476;cloudflare;;00:22.330;utf-8;Le champ d’activités portant sur l’adaptation aux changements climatiques s’articule autour de quatre grands thèmes : les événements météorologiques extrêmes, les îlots de chaleur urbains, les
https://www.inspq.qc.ca/adaptation-aux-changements-climatiques/plan-d-action-2013-2020-sur-les-changements-climatiques-pacc-volet-sante;12002;timeout;;;"                 Plan d&#039;action 2013-2020 sur les changements climatiques - Volet santé                      ";;1;;477;;;00:00.000;utf-8;
https://www.inspq.qc.ca/adaptation-aux-changements-climatiques/vrac-parc;12002;timeout;;;                 VRAC-PARC                      ;;1;;477;;Le d?lai imparti ? l'op?ration est d?pass?;00:00.000;utf-8;
https://www.inspq.qc.ca/adaptation-aux-changements-climatiques?items_per_page=10;12002;timeout;;;10;;2;;1;;;00:00.000;utf-8;
https://www.inspq.qc.ca/adaptation-aux-changements-climatiques?items_per_page=25;12002;timeout;;;25;;2;;1;;;00:00.000;utf-8;
https://www.inspq.qc.ca/adaptation-aux-changements-climatiques?items_per_page=50;12002;timeout;;;50;;2;;1;;;00:00.000;utf-8;
https://www.inspq.qc.ca/adaptation-aux-changements-climatiques?items_per_page=All;12002;timeout;;;Tous;;2;;1;;;00:00.000;utf-8;
https://www.inspq.qc.ca/adaptation-aux-changements-climatiques?page=1;12002;timeout;;;suivant ›;;2;;1;;;00:00.000;utf-8;
https://www.inspq.qc.ca/adaptation-aux-changements-climatiques?themekey-theme=mobile;12002;timeout;;;Version mobile;;2;;1;;;00:00.000;utf-8;
https://www.inspq.qc.ca/agression-sexuelle;12002;timeout;;;Trousse média sur les agressions sexuelles;;2;;4;;;00:00.000;utf-8;
https://www.inspq.qc.ca/agression-sexuelle/accueil;12002;timeout;;;                 Trousse média sur les agressions sexuelles                      ;;1;;477;;;00:00.000;utf-8;
https://www.inspq.qc.ca/agression-sexuelle/comprendre;12002;timeout;;;                 Comprendre                      ;;1;;477;;;00:00.000;utf-8;
https://www.inspq.qc.ca/agression-sexuelle/comprendre/agresseurs-sexuels;12002;timeout;;;                 Agresseurs sexuels                      ;;1;;477;;;00:00.000;utf-8;
https://www.inspq.qc.ca/agression-sexuelle/comprendre/consequences;12002;timeout;;;                 Conséquences                      ;;1;;477;;;00:00.000;utf-8;
https://www.inspq.qc.ca/agression-sexuelle/comprendre/de-quoi-parle-t-on;12002;timeout;;;infractions à caractère sexuel;;2;;1;;;00:00.000;utf-8;
https://www.inspq.qc.ca/agression-sexuelle/comprendre/facteurs-de-risque;12002;timeout;;;                 Facteurs de risque                      ;;1;;477;;;00:00.000;utf-8;
https://www.inspq.qc.ca/agression-sexuelle/comprendre/mythes-et-realite;12002;timeout;;;                 Mythes et réalités                      ;;1;;477;;;00:00.000;utf-8;
https://www.inspq.qc.ca/agression-sexuelle/comprendre/victimes;12002;timeout;;;                 Victimes                      ;;1;;477;;;00:00.000;utf-8;
https://www.inspq.qc.ca/agression-sexuelle/f;12002;timeout;;;6;;2;;1;;;00:00.000;utf-8;
https://www.inspq.qc.ca/agression-sexuelle/fiches/la-cyberpedophilie-et-le-cyberespace;12002;timeout;;;                 La cyberpédophilie et le cyberespace                      ;;1;;477;;;00:00.000;utf-8;
https://www.inspq.qc.ca/agression-sexuelle/fiches/le-harcelement-sexuel;12002;timeout;;;Harcèlement sexuel ;;2;;1;;;00:00.000;utf-8;
https://www.inspq.qc.ca/agression-sexuelle/fiches-thematiques;12002;timeout;;;                 Fiches thématiques                      ;;1;;477;;;00:00.000;utf-8;
https://www.inspq.qc.ca/agression-sexuelle/fiches-thematiques/l-agression-sexuelle-dans-l-enfance-des-agresseurs-sexuels;12002;timeout;;;                 L’agression sexuelle dans l’enfance des agresseurs sexuels                      ;;1;;477;;;00:00.000;utf-8;
https://www.inspq.qc.ca/agression-sexuelle/fiches-thematiques/l-agression-sexuelle-des-jeunes-dans-le-sport;12002;timeout;;;"                 L&#039;agression sexuelle des jeunes dans le sport                      ";;1;;477;;;00:00.000;utf-8;
https://www.inspq.qc.ca/agression-sexuelle/fiches-thematiques/la-recidive-chez-les-agresseurs-sexuels;12002;timeout;;;                 La récidive chez les agresseurs sexuels                      ;;1;;477;;;00:00.000;utf-8;
https://www.inspq.qc.ca/agression-sexuelle/fiches-thematiques/les-agressions-sexuelles-commises-par-les-femmes;200;ok;text/html;501334;Les agressions sexuelles commises par les femmes | Agressions sexuelles | INSPQ;27.05.2022  18:19:48;1;780;476;cloudflare;;00:54.371;utf-8;Les agressions sexuelles commises par les femmes Auteurs : Monique Tardif, Ph.D., Professeure titulaire, Université du Québec à Montréal et Jo-Annie Spearson-Goulet, M.A., candidate au doctorat en
https://www.inspq.qc.ca/agression-sexuelle/fiches-thematiques/les-agressions-sexuelles-commises-par-les-femmes?themekey-theme=mobile;12002;timeout;;;Version mobile;;2;;1;;;00:00.000;utf-8;
https://www.inspq.qc.ca/agression-sexuelle/fiches-thematiques/les-fausses-allegations-d-agression-sexuelle-chez-les-enfants;12002;timeout;;;"                 Les fausses allégations d&#039;agression sexuelle chez les enfants                      ";;1;;477;;;00:00.000;utf-8;
https://www.inspq.qc.ca/agression-sexuelle/h;12002;timeout;;;8;;2;;1;;;00:00.000;utf-8;
https://www.inspq.qc.ca/agression-sexuelle/j;12002;timeout;;;10;;2;;1;;;00:00.000;utf-8;
https://www.inspq.qc.ca/agression-sexuelle/le-harcelement-sexuel;12002;timeout;;;                 Le harcèlement sexuel                      ;;1;;477;;;00:00.000;utf-8;
https://www.inspq.qc.ca/agression-sexuelle/les-agressions-sexuelles-de-quoi-parle-t-on;200;ok;text/html;520393;Les agressions sexuelles : de quoi parle-t-on ? | Agressions sexuelles | INSPQ;27.05.2022  18:10:09;1;839;476;cloudflare;;00:37.205;utf-8;Il n’existe pas de définition universelle de l’agression sexuelle. Plusieurs définitions de l’agression sexuelle existent et varient selon les perspectives considérées (ex. : politique, légale,
https://www.inspq.qc.ca/agression-sexuelle/les-agressions-sexuelles-de-quoi-parle-t-on?themekey-theme=mobile;12002;timeout;;;Version mobile;;2;;1;;;00:00.000;utf-8;
https://www.inspq.qc.ca/agression-sexuelle/loi;12002;timeout;;;                 La loi                      ;;1;;477;;;00:00.000;utf-8;
https://www.inspq.qc.ca/agression-sexuelle/loi/cadre-legal;12002;timeout;;;                 Cadre légal                      ;;1;;477;;;00:00.000;utf-8;
https://www.inspq.qc.ca/agression-sexuelle/loi/processus-judiciaire;12002;timeout;;;                 Processus judiciaire                      ;;1;;477;;;00:00.000;utf-8;
https://www.inspq.qc.ca/agression-sexuelle/medias;12002;timeout;;;                 Médias                      ;;1;;477;;;00:00.000;utf-8;
https://www.inspq.qc.ca/agression-sexuelle/medias/principaux-messages-transmettre-concernant-les-agressions-sexuelles;12002;timeout;;;                 Principaux messages à transmettre concernant les agressions sexuelles                      ;;1;;477;;;00:00.000;utf-8;
https://www.inspq.qc.ca/agression-sexuelle/medias/traiter-des-agressions-sexuelles-dans-les-medias;12002;timeout;;;                 Traiter des agressions sexuelles dans les médias                      ;;1;;477;;;00:00.000;utf-8;
https://www.inspq.qc.ca/agression-sexuelle/medias-et-agressions-sexuelles;12002;timeout;;;                 Médias et agressions sexuelles                      ;;1;;477;;;00:00.000;utf-8;
https://www.inspq.qc.ca/agression-sexuelle/nous-joindre;12002;timeout;;;                 Nous joindre                      ;;1;;477;;;00:00.000;utf-8;
https://www.inspq.qc.ca/agression-sexuelle/prevention;12002;timeout;;;                 Prévention                      ;;1;;477;;;00:00.000;utf-8;
https://www.inspq.qc.ca/agression-sexuelle/prevention/strategies-communautaires-et-societales;12002;timeout;;;                 Stratégies communautaires et sociétales                      ;;1;;477;;;00:00.000;utf-8;
https://www.inspq.qc.ca/agression-sexuelle/propos;12002;timeout;;;                 À propos                      ;;1;;477;;;00:00.000;utf-8;
https://www.inspq.qc.ca/agression-sexuelle/ressources;12002;timeout;;;                 Ressources                      ;;1;;477;;Le d?lai imparti ? l'op?ration est d?pass?;00:00.000;utf-8;
https://www.inspq.qc.ca/agression-sexuelle/ressources/agresseurs;12002;timeout;;;                 Agresseurs                      ;;1;;477;;;00:00.000;utf-8;
https://www.inspq.qc.ca/agression-sexuelle/ressources/victimes;12002;timeout;;;                 Victimes                      ;;1;;477;;;00:00.000;utf-8;
https://www.inspq.qc.ca/agression-sexuelle/sources;12002;timeout;;;                 Sources                      ;;1;;477;;;00:00.000;utf-8;
https://www.inspq.qc.ca/agression-sexuelle/statistiques;200;ok;text/html;511089;Statistiques sur les agressions sexuelles | Agressions sexuelles | INSPQ;27.05.2022  17:45:37;1;793;476;cloudflare;;00:58.585;utf-8;Mise à jour de la section Statistiques : 12 mai 2022 Statistiques Faits saillants Dans près de 9 cas sur 10, la victime d’une agression sexuelle est une fille ou une femme. Les jeunes de 15 à 24 ans
https://www.inspq.qc.ca/agression-sexuelle/statistiques/adultes;12002;timeout;;;                 Ampleur chez les adultes                      ;;1;;477;;;00:00.000;utf-8;
https://www.inspq.qc.ca/agression-sexuelle/statistiques/jeunes;12002;timeout;;;                 Ampleur chez les jeunes                      ;;1;;477;;;00:00.000;utf-8;
https://www.inspq.qc.ca/agression-sexuelle/statistiques?themekey-theme=mobile;12002;timeout;;;Version mobile;;2;;1;;;00:00.000;utf-8;
https://www.inspq.qc.ca/agression-sexuelle/strategies-individuelles-et-relationnelles;12002;timeout;;;                 Stratégies individuelles et relationnelles                      ;;1;;477;;;00:00.000;utf-8;
https://www.inspq.qc.ca/alcool-drogue-jeux-de-hasard-et-d-argent;12002;timeout;;;                 Substances psychoactives, jeux de hasard et d’argent                      ;;1;;477;;Le d?lai imparti ? l'op?ration est d?pass?;00:00.000;utf-8;
https://www.inspq.qc.ca/amiante;12002;timeout;;;                 Amiante                      ;;1;;477;;;00:00.000;utf-8;
https://www.inspq.qc.ca/amiante/produits-en-amiante-fournisseurs;12002;timeout;;;                 Produits en amiante / fournisseurs                      ;;1;;477;;;00:00.000;utf-8;
https://www.inspq.qc.ca/analyses-de-l-etat-de-sante-de-la-population;200;ok;text/html;493160;Analyses de l’état de santé de la population | INSPQ;27.05.2022  18:18:38;1;793;482;cloudflare;;00:11.543;utf-8;Ce champ d’expertise transversale éclaire l’ampleur et l’évolution de diverses problématiques de santé et de bien-être et permet une meilleure gestion et prise en compte de l’information
https://www.inspq.qc.ca/analyses-de-l-etat-de-sante-de-la-population/obtenir-de-l-information-sur-la-sante-de-la-population;12002;timeout;;;"                 Obtenir de l&#039;information sur la santé de la population                      ";;1;;477;;;00:00.000;utf-8;
https://www.inspq.qc.ca/analyses-de-l-etat-de-sante-de-la-population/sante-des-communautes-linguistiques;200;ok;text/html;490218;Santé des communautés linguistiques | INSPQ;27.05.2022  18:19:31;1;785;476;cloudflare;;01:02.334;utf-8;La langue d’expression est un déterminant de la santé de plus en plus considéré dans la planification sociosanitaire. Il est connu que les groupes en situation minoritaire sont souvent plus
https://www.inspq.qc.ca/analyses-de-l-etat-de-sante-de-la-population/sante-des-communautes-linguistiques/portrait-de-sante-des-communautes-linguistiques-du-quebec;12002;timeout;;;                 Portrait de santé des communautés linguistiques du Québec                      ;;1;;477;;;00:00.000;utf-8;
