Address;Status-Code;Status-Text;Type;Size;Title;Date;Level;Links Out;Links In;Server;Error;Duration;Charset;Description
https://www.quebec.ca/sante/alimentation;200;ok;text/html;42732;Alimentation | Gouvernement du Québec;;1;97;11;nginx;;00:01.432;utf-8;Alimentation saine, salubrité, intoxication, rappels d'aliments, allergies et intolérances.
https://www.quebec.ca/sante/alimentation/allergies-alimentaires;12002;timeout;;;"         <div class=""sous-theme-page"">             <h2 class=""sous-theme-titre"">                                                                                Allergies                                                                                <span ";;2;;2;;;00:00.000;utf-8;
https://www.quebec.ca/sante/alimentation/condamnations-etablissements-alimentaires;200;ok;text/html;39573;Condamnations des établissements alimentaires | Gouvernement du Québec;;2;90;2;nginx;;00:20.941;utf-8;Surveillance et poursuites en matière d'hygiène et de salubrité des restaurants, supermarchés, traiteurs, abattoirs, usines, fermes laitières.
https://www.quebec.ca/sante/alimentation/condamnations-etablissements-alimentaires/consulter-condamnations;12002;timeout;;;Consulter les condamnations;;3;;1;;;00:00.000;utf-8;
https://www.quebec.ca/sante/alimentation/condamnations-etablissements-alimentaires/inspection-etablissements-alimentaires;12002;timeout;;;Inspection des établissements;;3;;1;;Le d?lai imparti ? l'op?ration est d?pass?;00:00.000;utf-8;
https://www.quebec.ca/sante/alimentation/intoxications-alimentaires;12002;timeout;;;"         <div class=""sous-theme-page"">             <h2 class=""sous-theme-titre"">                                                                                Intoxications                                                                                <s";;2;;4;;;00:00.000;utf-8;
https://www.quebec.ca/sante/alimentation/plainte-insalubrite-intoxication;200;ok;text/html;36214;Plainte pour insalubrité ou intoxication alimentaire | Gouvernement du Québec;;2;84;2;nginx;;00:14.789;utf-8;Certains signalements reçus peuvent conduire à une inspection et à une condamnation si la protection des consommateurs est en cause.
https://www.quebec.ca/sante/alimentation/rappels-aliments;200;ok;text/html;43171;Consulter les avis de rappels d'aliments | Gouvernement du Québec;;2;91;2;nginx;;00:28.121;utf-8;Un rappel d’aliments est effectué pour la protection du public et permet d’éviter des intoxications alimentaires ou des réactions allergiques graves.
https://www.quebec.ca/sante/alimentation/reduire-gaspillage-alimentaire;12002;timeout;;;"         <div class=""sous-theme-page"">             <h2 class=""sous-theme-titre"">                                                                                Réduire                                               le                                      ";;2;;2;;;00:00.000;utf-8;
https://www.quebec.ca/sante/alimentation/saines-habitudes-alimentaires;12002;timeout;;;"         <div class=""sous-theme-page"">             <h2 class=""sous-theme-titre"">                                                                                Saines                                               habitudes                                 ";;2;;4;;;00:00.000;utf-8;
https://www.quebec.ca/sante/alimentation/saines-habitudes-alimentaires/alimentation-des-aines;12002;timeout;;;Alimentation des aînés;;3;;1;;;00:00.000;utf-8;
https://www.quebec.ca/sante/alimentation/saines-habitudes-alimentaires/alimentation-des-bebes-et-des-nourrissons;12002;timeout;;;Alimentation des bébés et des nourrissons;;3;;3;;;00:00.000;utf-8;
https://www.quebec.ca/sante/alimentation/saines-habitudes-alimentaires/alimentation-des-bebes-et-des-nourrissons/;200;ok;text/html;40690;Alimentation des bébés et des nourrissons | Gouvernement du Québec;;4;107;1;nginx;;01:00.101;utf-8;L’arrivée d’un bébé est un heureux événement qui soulève souvent de nombreuses questions, particulièrement en ce qui a trait à l’alimentation
https://www.quebec.ca/sante/alimentation/saines-habitudes-alimentaires/alimentation-des-enfants;12002;timeout;;;Alimentation des enfants;;3;;3;;;00:00.000;utf-8;
https://www.quebec.ca/sante/alimentation/saines-habitudes-alimentaires/alimentation-des-femmes-enceintes;12002;timeout;;;Alimentation des femmes enceintes;;3;;2;;;00:00.000;utf-8;
https://www.quebec.ca/sante/alimentation/saines-habitudes-alimentaires/alimentation-des-femmes-enceintes/;12002;timeout;;;Alimentation des femmes enceintes;;4;;1;;Le d?lai imparti ? l'op?ration est d?pass?;00:00.000;utf-8;
https://www.quebec.ca/sante/alimentation/saines-habitudes-alimentaires/alimentation-saine;12002;timeout;;;Alimentation saine;;3;;3;;;00:00.000;utf-8;
https://www.quebec.ca/sante/alimentation/saines-habitudes-alimentaires/aliments-hautement-transformes;12002;timeout;;;Aliments hautement transformés;;3;;3;;;00:00.000;utf-8;
https://www.quebec.ca/sante/alimentation/saines-habitudes-alimentaires/comprendre-les-etiquettes-des-aliments;12002;timeout;;;Comprendre les étiquettes des aliments;;3;;2;;;00:00.000;utf-8;
https://www.quebec.ca/sante/alimentation/saines-habitudes-alimentaires/consommation-de-poisson-et-sante;12002;timeout;;;Consommation de poisson et santé;;3;;1;;;00:00.000;utf-8;
