,Structure,Fréquence
0,NOM ADJ,20116
2,NOM,15475
1,NAM,9906
46,NOM PRP NOM,6086
179,NOM NAM,4916
5,NOM ADJ ADJ,3738
65,NOM PRP:det NOM,2774
22,NOM PRP NOM ADJ,2534
56,NOM NOM,2386
4,NOM PRP DET:ART NOM,2227
14,NOM PRP NAM,2024
34,ADJ NOM,1549
80,NOM PRP:det NOM ADJ,1400
252,NAM NAM,1102
169,NAM NOM,974
58,NOM PRP NOM PRP NOM,947
88,NOM PRP DET:ART NOM ADJ,923
115,NOM ADJ PRP:det NOM,881
247,NOM PRP NOM NAM,870
60,NOM ADJ PRP NOM,806
33,ADJ,730
6,NOM ADJ PRP DET:ART NOM,719
28,NOM ADJ NAM,630
114,NOM ADJ NOM,577
66,NOM NUM,534
133,NOM PRP NOM PRP:det NOM,453
113,NOM NOM ADJ,431
460,NOM PRP NOM NUM,423
50,NOM VER:pper,420
95,NOM PRP NOM PRP DET:ART NOM,341
26,NOM ADJ PRP NOM ADJ,339
197,NOM PRP:det NAM,324
277,NAM VER:simp,310
280,NOM ADJ PRP:det NOM ADJ,305
38,ADJ NOM ADJ,303
77,NOM ADJ PRP NAM,299
267,NOM ADJ VER:pper,277
352,VER:pper,267
54,NOM PRP NOM PRP NOM ADJ,252
137,NOM PRP NOM ADJ ADJ,251
167,NOM PUN NOM PUN,245
25,NOM VER:pper PRP DET:ART NOM,243
251,NOM NOM NAM,228
126,NOM PRP:det NOM PRP NOM,225
379,NOM PRP:det NOM NAM,220
438,NOM ADJ PRP NOM NUM,219
266,NOM PRP NOM NOM,209
290,NOM ADJ PRP DET:ART NOM ADJ,207
190,NOM NAM NAM,196
142,NOM PRP:det NOM ADJ ADJ,193
8,NOM ADJ ADJ NOM,180
276,NOM PRP DET:ART NAM,169
3,NOM ADV ADJ,162
208,NOM PRP:det NOM PRP DET:ART NOM,158
91,NOM PRP DET:ART NOM PRP:det NOM,155
244,NOM PRP:det NOM PRP:det NOM,155
381,NOM NOM PRP NOM,151
342,VER:pper PRP NOM,151
239,NOM PRP ADJ NOM,151
872,NOM ADJ ADJ ADJ,151
344,NOM PRP NOM PRP:det NOM ADJ,147
76,NOM ADJ KON ADJ,146
81,NOM PRP NOM VER:pper,144
23,NOM VER:pper PRP:det NOM,141
651,NOM PRP DET:ART NOM ADJ ADJ,137
191,VER:simp NOM,133
355,NOM ADJ NOM ADJ,130
394,NAM PUN NOM ADJ ADJ PUN,130
500,NAM NOM NUM,126
59,NOM VER:pper PRP NOM,125
592,NOM NOM NOM,125
78,NOM PRP DET:ART NOM PRP NOM,118
246,NOM PRP,115
313,NAM NOM NOM,114
674,NOM ADJ PRP:det NOM PRP DET:ART NOM,114
337,NOM PRP:det ADJ,113
515,NOM NOM PRP:det NOM,112
262,NOM NAM ADJ,108
467,NOM NAM PRP:det NOM,106
74,NOM KON NOM,106
1519,NOM NUM NOM,105
104,NOM PRP:det NOM NOM,105
89,NOM PRP DET:ART NOM PRP DET:ART NOM,103
216,NOM PRP NOM ADJ PRP NOM,103
263,VER:pres NOM,102
1162,VER:pper PRP DET:ART NOM,101
343,NOM PRP NOM PRP DET:ART NOM ADJ,100
210,NOM PRP:det ADJ NOM,100
282,NOM ADJ ADJ PRP DET:ART NOM,100
371,NOM NOM NUM,99
7,NOM ADJ NUM,98
663,ADJ NOM NOM,98
119,NOM ADJ ADJ PRP:det NOM,97
602,NOM ADJ ADJ PRP NOM NUM,94
