,Structure,Fréquence
3,nc adj,20354
1,nc,16153
0,np,10051
40,nc prep nc,9450
153,nc np,5032
19,nc prep nc adj,4015
5,nc adj adj,3816
48,nc nc,2907
12,nc prep np,2396
4,nc prep det nc,2380
51,nc adj prep nc,1963
50,nc prep nc prep nc,1932
28,adj nc,1652
207,np np,1359
145,np nc,1223
202,nc prep nc np,1145
75,nc prep det nc adj,982
27,adj,795
6,nc adj prep det nc,751
79,nc adj nc,717
24,nc adj np,660
23,nc adj prep nc adj,646
44,nc v,574
81,nc prep nc prep det nc,534
47,nc prep nc prep nc adj,519
99,nc nc adj,479
197,np v,455
117,nc prep nc adj adj,450
109,nc nc prep nc,390
90,nc prep nc nc,390
65,nc adj prep np,387
66,nc prep det nc prep nc,361
14,nc prep nc adj prep nc,320
219,nc adj v,317
283,v,314
20,nc v prep nc,314
32,adj nc adj,310
206,nc nc np,288
162,v nc,275
41,nc adj adj prep nc,269
22,nc v prep det nc,261
176,nc prep adj nc,254
159,v prep nc,244
161,nc np np,239
137,nc prep nc prep nc prep nc,236
221,nc nc nc,235
205,nc adj prep det nc adj,214
132,nc adj prep nc prep nc,211
351,np np nc,205
251,np nc nc,200
7,nc adj adj nc,198
454,nc prep nc prep np,197
68,nc prep nc v,186
382,np np np,184
362,nc np prep nc,178
224,nc prep det np,171
2,nc adv adj,163
43,adj nc prep nc,161
107,nc adj prep nc np,159
282,np nc np,157
651,nc adj adj adj,153
284,nc adj nc adj,147
64,nc adj csu adj,146
273,nc prep adj,145
444,adj nc nc,143
497,nc prep det nc adj adj,139
175,nc prep nc prep nc np,138
514,nc adj prep nc prep det nc,137
253,np nc adj adj,132
277,nc prep nc prep det nc adj,132
500,nc np nc,132
67,nc prep nc csu prep nc,130
231,nc adj v prep nc,128
201,nc prep,127
728,nc nc prep nc prep nc,125
177,nc prep np prep nc,122
192,,121
9,np v nc,119
217,nc np adj,112
437,np np np nc,111
562,nc prep nc adj np,108
124,v prep det nc,107
11,nc prep det nc prep np,106
62,nc csu nc,106
93,nc prep nc prep nc prep nc adj,106
52,nc v adj,106
76,nc prep det nc prep det nc,105
227,nc adj adj prep det nc,103
297,nc nc prep nc np,102
269,np nc adj,101
45,adj prep nc,98
503,nc nc prep nc adj,98
95,nc adj v prep det nc,95
33,nc v det nc,94
445,adj nc np,93
163,nc prep det nc adj prep nc,91
1210,nc np prep det nc,89
369,np np np np,87
563,nc prep nc adj prep nc adj,86
78,nc prep det nc prep nc adj,85
669,nc prep det nc prep nc prep np,85
910,nc adj prep nc adj adj,85
307,nc prep np np,83
174,nc prep det nc np,83
37,nc v prep nc adj,81
698,nc adj adj np,81
31,adj adj,80
321,nc prep nc adj nc,79
118,np nc prep nc adj,79
270,nc adj prep det nc prep nc,78
183,nc prep nc adj prep det nc,77
115,adj prep nc adj,77
131,nc prep nc v prep nc,76
250,nc adj adj prep nc adj,75
615,nc prep np nc,75
121,v adj,74
241,nc adj prep adj nc,74
582,np adj nc,74
158,np adj,73
274,nc prep v,73
276,v prep nc adj,67
94,nc csu nc adj,65
950,nc adj adj prep np,65
356,nc prep det nc prep nc prep nc,63
112,nc v prep np,63
