,Topic
0,santé mentale troubles mentaux dépendance et itinérance jeunes et familles interventions psychosociales troubles mentaux courants transfert de connaissances trajectoire optimale services sociaux efficacité des interventions symptômes et troubles mentaux courants trajectoire optimale de services symptômes et troubles trouble de déficit symptômes et troubles mentaux produits de connaissance services externes efficacité des interventions psychosociales enfants adolescents et jeunes adultes hyperactivité tdah enfants adolescents et jeunes jeunes adultes enfants adolescents coordination scientifique interventions psychosociales pour prévenir services pour les enfants adolescents et jeunes trajectoire optimale de services pour les enfants services pour les enfants adolescents trajectoire optimale de services pour les enfants adolescents coordination scientifique micheline lapalme
1,méta analyses association avec la metformine évolution rapide forme rémittente innocuité cardiovasculaire association avec la metformine et une sulfonylurée cours de la dernière cours de la dernière année cost effectiveness résonance magnétique traitement des personnes diabétiques de type diabète de type sep de forme rémittente conseil juge paramètres intermédiaires intention de traitement traitement des personnes diabétiques poussées cliniques médicament au cours cadre des indications prévues sep de forme régime dans le cadre des indications prévues tzd avec la metformine et une sulfonylurée indications prévues canada publiait association rosiglitazone events in patients cadre des indications renseignements importants pioglitazone and rosiglitazone
2,réponses rapides réponses rapides disponibles version française usage optimal méthode de réponse réponse rapide méthode de réponse rapide protocole médical usage optimal sont disponibles google play contexte de pandémie traitement pharmacologique des itss soins intensifs application inesss méthode de réponse rapide dans le contexte méthode de réponse rapide covid protocole médical national hospitalisation et projections des besoins services sociaux élaboration et mise en oeuvre de la méthode besoins hospitaliers traitements intérêt visitez réponses rapides disponibles investigation traitement pharmacologique rapports disponibles présentations cliniques oeuvre de la méthode de réponse rapide projections des besoins hospitaliers traitements présentations cliniques élaboration et mise ventilation assistée
3,biologie médicale biologie médicale et génomique analyses de biologie médicale analyses de biologie procédures de biologie procédures de biologie médicale produits du système produits du système du sang séquençage de nouvelle système de mesure mesure des procédures mesure des procédures de biologie médicale répertoire québécois mesure des procédures de biologie séquençage de nouvelle génération répertoire québécois et système système de mesure des procédures système de mesure des procédures de biologie système de mesure des procédures de biologie médicale services sociaux évaluation des tests système du sang données probantes sang du québec pourcentage des patients liste des produits liste des produits du système système du sang du québec produits du système du sang du québec ministère de la santé et des services
4,réponses rapides réponses rapides disponibles biologie médicale méthode de réponse rapide réponse rapide réponses rapides disponibles investigation biologie médicale et génomique soins intensifs soins intensifs ventilation soins intensifs ventilation assistée méthode de réponse décès en lien avec la covid lien avec la covid projections des besoins décès en lien ordonnances collectives réponse rapide covid échangeur de chaleur mise en oeuvre de la méthode de réponse rapide mise en oeuvre études cliniques usage optimal méthode de réponse rapide covid ventilation assistée échangeur services de réadaptation présentant oeuvre de la méthode de réponse mise en oeuvre de la méthode de réponse hospitalisation et projections réponse rapide dans le contexte services sociaux
5,usage optimal intervention en santé cardiologie et maladies produits de connaissance maladies neurovasculaires cardiologie et maladies neurovasculaires pratiques cliniques pratiques cliniques préventives cliniques préventives dépistage et pratiques dépistage et pratiques cliniques préventives dépistage et pratiques cliniques patients atteints coordination scientifique dépistage néonatal cancer du poumon contexte réel dépistage du cancer pertinence du dépistage usage optimal des immunoglobulines résultats cliniques pertinence du dépistage néonatal transfert de connaissances prise de décision usage optimal usage prise en charge des patients organes solides données clinico immunoglobulines humaines traitement du cancer
6,veille stratégique fondements éthiques principes et fondements éthiques principes et fondements lignes directrices et processus lignes directrices services sociaux accès de remboursement développements technologiques implantation des innovations accès de remboursement et de soutien évolution des modalités soins de santé plasma riche inesss inesss plasma riche en plaquettes systèmes de santé évolution des pratiques interventions en santé système de santé implantation conditionnelle des technologies innovantes prise de décision technologies innovantes implantation conditionnelle des technologies travers le monde implantation conditionnelle santé physique amélioration continue rigueur scientifique évaluation de la pertinence
7,usage optimal version française protocole médical google play protocole médical national traitement pharmacologique demande en cours soutien au guide demande en attente application inesss guides chlamydia et gonorrhoeae intervalle de confiance rhinosinusite aiguë application inesss ordonnance associée usage optimal rhinosinusite aiguë patients adultes atteints pneumonie acquise stabilisation des lits usage optimal rhinosinusite usage optimal sont disponibles outil clinique usage optimal pneumonie traitement pharmacologique des itss standardisation des pratiques relatives aux allergies pneumonie acquise en communauté pratiques relatives aux allergies aux bêta lactamines adultes atteints allergies aux bêta portrait et projections
8,chek mobile santé publique services sociaux onetouch mc verio excellence en santé et en services excellence en santé et en services sociaux excellence en santé institut national trajectoire de santé trajectoire de santé publique organismes publics accès aux documents système accu chek système accu chek mobile système accu accès aux documents des organismes publics documents des organismes publics accès aux documents des organismes documents des organismes organismes publics et sur la protection services sociaux inesss coût moyen pondéré bandelettes de glycémie inesss annexes passeport vaccinal produits sanguins stables nombre de cas nonacog bêta pégol produits sanguins nonacog bêta
9,services sociaux services sociaux généraux jeunes et familles trouble du spectre protection de la jeunesse trajectoires de services déficiences physiques déficiences physiques intellectuelles déficiences physiques intellectuelles et tsa situation de négligence jeunes en difficulté besoins des enfants déficience intellectuelle analyse des besoins vie adulte besoins des familles analyse des besoins des familles milieu de vie centre de réadaptation réadaptation pour jeunes en difficulté réadaptation pour jeunes produits de connaissance jeunes hébergés coordination scientifique évaluation diagnostique développement des enfants jeunes hébergés en centre de réadaptation pour jeunes jeunes hébergés en centre de réadaptation centre de réadaptation pour jeunes en difficulté jeunes hébergés en centre
