,Topic
0,jamp lurasidone bicarbonate de sodium jamp glycopyrrolate bicarbonate de sodium darunavir jamp jamp darunavir dextrose apotex élétriptan bromhydrate apotex élétriptan citrate liquid angita calcium citrate liquid angita apo eletriptan apotex élétriptan bromhydrate apo eletriptan apotex élétriptan apo eletriptan apotex fumarate de apo eletriptan apotex élétriptan halycil accelera propylthiouracile fumarate de apo angita quétiapine fumarate de apo eletriptan angita quétiapine fumarate angita quétiapine halycil accelera sulfonate calcique de jamp lurasidone sulfonate calcique de jamp lurasidone jamp evaluation publiée injection de glycopyrrolate jamp glycopyrrolate sodium darunavir jamp injection de glycopyrrolate jamp fumarate de apo eletriptan apotex fumarate de apo eletriptan jamp lurasidone jamp jamp glycopyrrolate jamp jamp lurasidone jamp lurasidone
1,réponses rapides réponses rapides disponibles réponse rapide méthode de réponse méthode de réponse rapide contexte de pandémie post covid soins intensifs affections post covid affections post contexte de la covid réponse rapide covid ventilation assistée études cliniques en cours soins intensifs ventilation assistée échangeur de chaleur soins intensifs ventilation ventilation assistée échangeur inspq visitez méthode de réponse rapide dans le contexte élaboration et mise élaboration et mise en oeuvre élaboration et mise en oeuvre de la méthode réponse rapide dans le contexte réponse rapide dans le contexte de la covid mise en oeuvre de la méthode mise en oeuvre de la méthode de réponse mise en oeuvre de la méthode de réponse rapide oeuvre de la méthode de réponse oeuvre de la méthode de réponse rapide
2,soins palliatifs protocole médical ordonnance collective protocole médical national protocoles médicaux ordonnance individuelle protocoles médicaux nationaux élimination fécale ordonnances associées candidose buccale traitement au fer aide médicale soins palliatifs nausées fer intraveineux maladie de lyme pertes vaginales inhabituelles traitement au fer intraveineux écoulement urétral pertes vaginales hypertension artérielle lyme ppe maladie de lyme ppe mucosite oropharyngée soins palliatifs détresse soins palliatifs fièvre sédation palliative sédation palliative continue rétention urinaire aigüe trouble dépressif trouble dépressif caractérisé
3,demande en cours demande en attente pré ac en attente dépôt pour évaluation adultes atteints patients adultes traitement des patients listes des médicaments patients adultes atteints pré ac en cours projet aligné inesss acmts projet aligné inesss projet aligné traitement des patients adultes traitement des patients adultes atteints produit biosimilaire inscription avec conditions nom commercial traitement du cancer cancer du poumon pembrolizumab merck réévaluation en cours formule nutritive traitement des adultes traitement adjuvant liste des médicaments hidradénite suppurée réévaluation en attente hidradénite suppurée réévaluation hidradénite suppurée réévaluation en cours
4,usage optimal usage optimal usage usage optimal des immunoglobulines usage optimal usage optimal version française usage optimal du médicament médicament dans une situation situation donnée médicament dans une situation donnée santé des patients et de la population santé des patients immunoglobulines humaines médicament réfère travaux menant usage optimal guide traitement pharmacologique immunoglobulines en neurologie usage optimal personnes âgées recommandations cliniques usage optimal des immunoglobulines en neurologie usage optimal guides soutien au guide immunologie clinique immunoglobulines en dermatologie application inesss application inesss guides coordination scientifique usage optimal pour le traitement produits de connaissance soutien au guo
5,dépôt électronique évaluation des médicaments médicaments biosimilaires inscription fiche rencontre présoumission médicaments aux fins évaluation des médicaments aux fins produits de santé naturels santé naturels produits de santé rencontre postsoumission préavis obligatoire maladie pulmonaire obstructive chronique maladie pulmonaire obstructive maladie pulmonaire inscription inesss médicaments génériques fabricants demande postsoumission avec les fabricants présoumission avec les fabricants dépôt électronique temporaire pour les demandes dépôt électronique temporaire fiches rencontre inscription autres fiches fiches rencontre postsoumission préavis obligatoire demandé préavis obligatoire demandé aux fabricants évaluation des médicaments biosimilaires médicaments biosimilaires médicaments fabricants rencontre
6,liste de médicaments liste de médicaments du régime général liste de médicaments du régime médicaments du régime médicaments du régime général régime général coût de traitement description du médicament régime général décision du ministre médicaments du régime général décision liste de médicaments du régime général décision régime général décision médicaments du régime général autres recommandations fabricant forme nom du fabricant forme régime général autres recommandations exception de la liste exception de la liste de médicaments du régime général exception de la liste de médicaments du régime coût de traitement plus élevé traitement plus élevé exception de la liste de médicaments ajout de nouveaux médicaments transfert de la section des médicaments données soumises version générique prévention du rejet médicaments dans la liste de médicaments médicaments dans la liste médicaments dans la liste de médicaments du régime général
7,inesss express conseil scientifique conseil scientifique comités documents institutionnels documents institutionnels emplois inesss express stage collaborateurs institutionnels collaborateurs institutionnels directions services sociaux excellence clinique table de concertation excellence en santé excellence en santé et en services excellence en santé et en services sociaux institut national secteur de la santé secteur de la santé et des services secteur de la santé et des services sociaux utilisation efficace utilisation efficace des ressources dans le secteur services sociaux inesss évolution des pratiques comités scientifiques comités scientifiques permanents comités délibératifs rigueur scientifique pratiques en oncologie évolution des pratiques en oncologie excellence clinique comité comités délibératifs permanents
8,liste du rgam mesure de la glycémie glucose dans le sang dénomination commune sujet réactif quantitatif dénomination commune sujet réactif réactif quantitatif du glucose dans le sang réactif quantitatif du glucose réactif quantitatif kio autres recommandations sidekick mc et truetrack bandelette de glycémie rapid response liste de médicaments chek mobile bandelettes de glycémie concentration de glucose dans le sang concentration de glucose résultats des tests sang entier glucose dans le sang entier concentration de glucose dans le sang entier systèmes de mesure médicaments du rgam onetouch mc verio coût moyen pondéré considérations particulières guide d'usage optimal rhinosinusite guide d'usage optimal rhinosinusite aiguë guide d'usage optimal infection guide d'usage optimal sur le traitement pharmacologique
9,cardiologie et maladies neurovasculaires maladies neurovasculaires cardiologie et maladies maladies neurovasculaires les travaux travaux en cardiologie travaux en cardiologie et maladies travaux en cardiologie et maladies neurovasculaires prise en charge des patients atteints de maladies maladies neurovasculaires visent cardio ou neuro cardio ou neuro vasculaires neuro vasculaires patients atteints de maladies prise en charge des patients atteints trajectoire de soins prise en charge des patients implantation valvulaire implantation valvulaire aortique implantation valvulaire aortique par cathéter résultats cliniques assistance ventriculaire maladies neurovasculaires modes implantation valvulaire aortique par cathéter tavi cathéter tavi profil évolutif patients atteints intervention en santé assistance ventriculaire gauche myocarde avec élévation du segment myocarde avec élévation
10,épidémie de covid besoins hospitaliers portrait et projections des hospitalisations projections des hospitalisations portrait et projections projections des besoins projections des besoins hospitaliers hospitalisation et projections hospitalisation et projections des besoins hospitalisation et projections des besoins hospitaliers intervalle de confiance lits réguliers lits avec un intervalle de confiance lits avec un intervalle inesss dans la section covid soins intensifs nombre de nouveaux cas lits aux soins intensifs lits aux soins semaine précédente données colligées nombre de nouvelles hospitalisations occupation des lits cours des prochaines communiqué suivi occupation des lits réguliers lits réguliers occupés portrait des hospitalisations en lien avec la covid pour la semaine covid pour la semaine portrait des hospitalisations en lien
11,numéro de référence échéancier prévu phase de réalisation type de production phase de réalisation en cours réalisation en cours guides et normes maladie métastatique radiothérapie néoadjuvante états des connaissances soins de plaies population adulte infection urinaire organisation des soins rcr en contexte rcr en contexte hors hospitalier contexte hors hospitalier déficit immunitaire implantation des normes implantation des normes de qualité test vph réadaptation de la clientèle tcc modéré ou grave normes de qualité erreurs innées du métabolisme erreurs innées tcc modéré post covid affections post covid affections post
12,services en traumatologie continuum de services en traumatologie continuum de services réseau de trauma registre des traumatismes mandats recherche registre partenaires et mandats cst historique structure cst historique mandats recherche trauma nouvelles du cst congrès et colloques en traumatologie nouveautés du mois archives mois archives cst historique structure partenaires nouveautés du mois congrès et colloques colloques en traumatologie évaluation du réseau réseau de traumatologie installations désignées soins critiques traumatisme craniocérébral documents déposés victimes de traumatismes évaluation en traumatologie et en soins évaluation en traumatologie et en soins critiques évaluation en traumatologie travaux qui visent recherche en traumatologie
