,Topic
0,prélèvements réalisés soins intensifs lieux publics fermés veille avec un cumul saisie au système lieux publics nombre total intervention graduelle covid intervention graduelle alertes régionales visage est dorénavant obligatoire déplacements notons milieu de vie ensemble vie ensemble vie ensemble du québec répartition du nombre quotidien répartition du nombre quotidien de décès répartition du nombre quotidien de décès liés nombre quotidien nombre quotidien de décès nombre quotidien de décès liés répartition du nombre décès liés transports en commun cas confirmés prélèvements comporte disponibilité des données sur les prélèvements nombre de prélèvements réalisés jour de saisie nombre de prélèvements
1,doses administrées consignes en vigueur doses reçues par les québécois doses administrées au québec hors québec doses administrées au québec québec hors québec donnees soulignons nombres de cas de décès nombres de cas de décès et de doses cas de décès et de doses doses au total nombres de cas données ouvertes cas de décès recherche fr organization organization msss recherche fr organization msss données de manière évolution des données de manière quotidienne évolution des données de manière manière quotidienne données de manière quotidienne manière quotidienne veuillez région rappelons mesures de prévention de base respect des consignes en vigueur respect des consignes doses reçues réajustement quotidien pour les jours réajustement quotidien pour les jours précédents en raison
2,indicateurs de gestion services sociaux répertoire des indicateurs de gestion répertoire des indicateurs ententes de gestion santé et services santé et services sociaux répertoire des indicateurs de gestion en santé indicateurs de gestion en santé indicateurs de gestion en santé et services gestion en santé et services sociaux gestion en santé et services gestion en santé indicateurs de gestion utilisés par le ministère de la santé indicateurs de gestion utilisés par le ministère services sociaux ententes de gestion indicateurs de gestion utilisés indicateurs de gestion le répertoire gestion utilisés services sociaux ententes gestion le répertoire indicateurs complémentaires utilisés pour le suivi gestion utilisés par le ministère de la santé indicateurs complémentaires utilisés gestion utilisés par le ministère indicateurs complémentaires utilisés pour le suivi de programmes indicateurs associés aux egi services sociaux rassemble indicateurs complémentaires imputabilité egi
3,guide autosoins rassemblement dans un lieu rassemblement dans un lieu privé lieu privé nombre total de personnes infectées total de personnes infectées mouchoirs immédiatement mains avec une solution secondes particulièrement lorsqu ligne info coronavirus indicatif régional de résidence indicatif régional ligne info soins intensifs apparition de symptômes coude de jeter numéro correspondant coronavirus les mesures mesures suivantes sont toujours recommandées population est invitée soins intensifs une diminution transports en commun décès liés nombre quotidien nombre quotidien de décès liés nombre quotidien de décès répartition du nombre quotidien répartition du nombre quotidien de décès répartition du nombre quotidien de décès liés répartition du nombre
4,téléchargements en lien fiche technique québec communiqué québec communiqué téléchargements super cliniques complexe hospitalier services sociaux communiqué mont royal financement supplémentaire rehaussement des services réduction des tarifs organismes communautaires hôpital du sacré clinique au québec amendements au projet centre hospitalier encadrement du cannabis forum sur les meilleures forum sur les meilleures pratiques jeunes en difficulté côte des neiges services diagnostiques hôpital de la malbaie cannabis au québec pointe aux trembles centre intégré services de soutien entente de principe trouble du spectre projet pilote
5,santé physique maladies chroniques santé physique maladies domicile longue domicile longue durée maladies chroniques domicile de longue domicile de longue durée iso smaf usagers actifs tsa et santé physique tsa et santé profil iso smaf profil iso heures de service nombre usagers santé physique domicile de longue durée adultes heures de service de soutien service de soutien durée adultes usagers actifs en soutien durée rendues modes de dispensation modes de dispensation de services domicile par les différents modes domicile longue durée rendues dispensation de services nombre total services de soutien service en clsc
6,maison des aînés maison des aînés et alternative ministre responsable maisons des aînés besoins spécifiques ministre responsable des aînés soins de longue soins de longue durée maisons des aînés et alternatives adultes ayant des besoins adultes ayant des besoins spécifiques ministre responsable de la région milieu de vie nombre de places transformation majeure transformation majeure des milieux dimension humaine démarche de transformation démarche de transformation majeure démarche de transformation majeure des milieux milieux de vie vieillissement de la population construction de la maison projections du nombre de places supplémentaires nombre de places supplémentaires places supplémentaires projections du nombre de places attente en hébergement croisement des plus récentes projections du nombre
7,durée du programme ressource certifiée en dépendances ressource certifiée fiche de la ressource répertoire des ressources en dépendances thérapie individuelle ou de groupe thérapie individuelle jours approche hommes et femmes cognitivo comportementale réinsertion sociale aide et soutien cognitivo comportementale dernière réinsertion sociale thérapie réinsertion sociale thérapie individuelle capitale nationale québec estrie fiche de la ressource estrie fiche québec fiche de la ressource québec fiche entretien motivationnel montérégie fiche de la ressource montérégie fiche chaudière appalaches chaudière appalaches fiche programme aide capitale nationale mauricie et centre mauricie et centre du québec laurentides fiche de la ressource
8,services sociaux ministre de la santé ministre de la santé et des services ministre de la santé et des services sociaux réseau de la santé réseau de la santé et des services sociaux réseau de la santé et des services centre intégré pandémie de la covid ministre responsable mesures mises mesures mises en place directeur général milieux de vie directrice générale centre intégré universitaire lien connexe centre intégré de santé passeport vaccinal centre intégré de santé et de services sociaux présidente directrice présidente directrice générale ministère de la santé services sociaux liens connexes ministère de la santé et des services ministère de la santé et des services sociaux situation épidémiologique éthique de la recherche président directeur président directeur général
9,statistiques de santé collectivités canadiennes santé dans les collectivités canadiennes santé dans les collectivités santé dans les collectivités canadiennes escc collectivités canadiennes escc surveillance produit onglet plan infocentre de santé publique infocentre de santé régions du québec proportion de la population plan commun commun de surveillance produit plan commun de surveillance produit onglet plan commun de surveillance onglet plan commun plan commun de surveillance commun de surveillance santé publique canada tiré fichier de microdonnées institut national de santé publique du québec sexe québec institut national de santé institut national de santé publique santé publique du québec institut national tableau des données source tableau des données
