,Topic
0,thérapie individuelle - thérapie individuelle ou de groupe - ressource certifiée - ressource certifiée en dépendances - durée du programme - jours approche - fiche de la ressource - répertoire des ressources en dépendances - cognitivo comportementale - hommes et femmes - entretien motivationnel - aide et soutien - réinsertion sociale thérapie - réinsertion sociale thérapie individuelle - clientèle jeunes - chaudière appalaches fiche - estrie fiche - estrie fiche de la ressource - québec fiche de la ressource - québec fiche - humaniste dernière - groupes d'âge pour découvrir - gestion en santé et services sociaux - gestion le répertoire - groupes d'âge - gestion en santé et services - gestion utilisés - gestion utilisés par le ministère - guide d'animation - gestion utilisés par le ministère de la santé
1,service de soutien - désintoxication en externe - saaq dernière - évaluation des conducteurs saaq dernière - désintoxication en externe réinsertion sociale - désintoxication en externe réinsertion - évaluation des conducteurs saaq - évaluation des conducteurs - clientèle jeunes et adultes - traitements de substitution - clientèle jeunes - ressource publique services - ressource publique services de réadaptation - ressource publique - services de réadaptation - réadaptation en externe - services de réadaptation en externe - désintoxication avec hébergement - aide et soutien - centre de réadaptation - réinsertion sociale - fiche de la ressource - répertoire des ressources en dépendances - réadaptation en externe et avec hébergement - services de réadaptation en externe et avec hébergement - centre de réadaptation en dépendance - réadaptation en dépendance - numéro sans frais - montérégie fiche de la ressource - montérégie fiche
2,problèmes de jeu - problèmes de jeu pathologique - régions ressources publiques - toxicomanie pour les problèmes de jeu - toxicomanie pour les problèmes - toxicomanie pour les problèmes de jeu pathologique - jeu pathologique - centre de réadaptation - répertoire des ressources en dépendances - centre de réadaptation en dépendance - réadaptation en dépendance - services sociaux - réinsertion sociale - centre du québec - centre de traitement - gestion utilisés par le ministère - gestion utilisés - gestion utilisés par le ministère de la santé - gestion le répertoire - gestion en santé et services sociaux - groupes d'âge - gouvernement fédéral - gestion en santé - groupes d'âge pour découvrir - guide d'animation - guide d'implantation - hommes et femmes - humaniste dernière - hébergement en dépendance - gestion en santé et services
3,capitale nationale - capitale nationale québec - québec fiche - québec fiche de la ressource - québec québec - québec centre - jours approche - hommes et femmes - gestion le répertoire - gestion utilisés - gestion utilisés par le ministère - gestion utilisés par le ministère de la santé - gouvernement fédéral - évaluation des conducteurs saaq dernière - gestion en santé et services - groupes d'âge - groupes d'âge pour découvrir - guide d'animation - guide d'implantation - humaniste dernière - hébergement en dépendance - implantation de l'offre de service - implantation de l'offre de service de détection - gestion en santé et services sociaux - gestion en santé - implantation de la stratégie d'accès - facteurs de protection - efficacité des économies de coûts - efficacité obtenus - engagement social
4,centre du québec - mauricie et centre - mauricie et centre du québec - centre du québec fiche - québec fiche de la ressource - québec fiche - cognitivo comportementale - québec centre - jours approche - humaniste dernière - groupes d'âge pour découvrir - gestion utilisés - gestion utilisés par le ministère - gestion utilisés par le ministère de la santé - gouvernement fédéral - groupes d'âge - évaluation des conducteurs saaq dernière - guide d'animation - gestion en santé et services sociaux - guide d'implantation - hommes et femmes - hébergement en dépendance - implantation de l'offre de service - implantation de l'offre de service de détection - implantation de la stratégie - gestion le répertoire - gestion en santé - gestion en santé et services - federation pour innovation - efficacité obtenus
5,services sociaux - indicateurs de gestion - répertoire des indicateurs - répertoire des indicateurs de gestion - indicateurs de gestion en santé - service en clsc - santé et services - santé et services sociaux - répertoire des indicateurs de gestion en santé - ententes de gestion - gestion en santé et services sociaux - gestion en santé - gestion en santé et services - indicateurs de gestion en santé et services - ministère de la santé - ministère de la santé et des services - ministère de la santé et des services sociaux - centre de réadaptation dans un délai - indicateurs complémentaires - clsc dans les délais établis - indicateurs associés aux egi - gestion utilisés - clsc dans les délais établis selon la priorisation - imputabilité egi - indicateurs associés - nombre de personnes ayant reçu - clsc dans les délais - implantation de la stratégie - services sociaux rassemble - gestion utilisés par le ministère
6,semaine de prévention - semaine de prévention des dépendances - prévention des dépendances - quiz vrai ou faux activité - quiz vrai - quiz vrai ou faux - jeux de hasard - engagement social - ans anglais quiz - ans anglais quiz vrai - pratique des jha - alcool de cannabis - campagne médiatique - argent chez les jeunes - jeunes et semaine de prévention des dépendances - jeunes et semaine - risques associés - jeunes et semaine de prévention - pratique des jeux de hasard - pratique des jeux - dépendances spd - partenaires pour diffuser du matériel - choix éclairés - partenaires pour diffuser - sensibilisation visant - conséquences liés - facteurs de protection - semaine de prévention des dépendances spd - msss collabore - prévention des dépendances spd
7,chaudière appalaches - chaudière appalaches fiche - alcool drogues - hommes et femmes - réinsertion sociale - jours approche - clientèle jeunes et adultes - cognitivo comportementale - implantation de l'offre de service - implantation de l'offre de service de détection - implantation de la stratégie d'accès aux services - gestion le répertoire - gestion utilisés - gestion utilisés par le ministère - gestion utilisés par le ministère de la santé - gouvernement fédéral - groupes d'âge - groupes d'âge pour découvrir - guide d'animation - guide d'implantation - implantation de la stratégie d'accès - gestion en santé et services - implantation de la stratégie - humaniste dernière - hébergement en dépendance - gestion en santé et services sociaux - évaluation des conducteurs saaq dernière - gestion en santé - facteurs de protection - efficacité obtenus
8,réinsertion sociale - réinsertion sociale thérapie individuelle - réinsertion sociale thérapie - thérapie individuelle ou de groupe - thérapie individuelle - durée du programme - québec centre - québec québec - efficacité des économies de coûts - gestion utilisés par le ministère de la santé - gestion en santé - gestion en santé et services - gestion en santé et services sociaux - gestion le répertoire - gestion utilisés - gestion utilisés par le ministère - gouvernement fédéral - gains en efficacité - groupes d'âge - groupes d'âge pour découvrir - guide d'animation - guide d'implantation - hommes et femmes - humaniste dernière - hébergement en dépendance - implantation de l'offre de service - gains en efficacité obtenus - fédération pour l'innovation en matière de santé - efficacité obtenus - fédération pour l'innovation en matière
9,estrie fiche de la ressource - estrie fiche - sherbrooke québec - hommes et femmes - durée du programme - ressource certifiée en dépendances - ressource certifiée - fiche de la ressource - répertoire des ressources en dépendances - guide d'animation - groupes d'âge pour découvrir - guide d'implantation - gestion en santé - humaniste dernière - groupes d'âge - gouvernement fédéral - gestion utilisés par le ministère de la santé - gestion utilisés par le ministère - hébergement en dépendance - gestion utilisés - gestion le répertoire - implantation de l'offre de service - implantation de l'offre de service de détection - gestion en santé et services sociaux - gestion en santé et services - fédération pour l'innovation en matière de santé - gains en efficacité obtenus - entretien motivationnel - désintoxication en externe réinsertion sociale - efficacité des économies
