,Corpus,Expression,Structure syntaxique,Fréquence,isMeSHTerm,MeSHID,MesH_prefLabel_fr,MesH_prefLabel_en,isTaxoTerm
0,doctissimo,temps qu',NOM PRO:REL,83,False,,,,False
1,doctissimo,liste de naissance,NOM PRP NOM,26,False,,,,False
3,doctissimo,également acheté,ADV VER:pper,7,False,,,,False
4,doctissimo,attend tjrs,VER:pres NOM,3,False,,,,False
5,doctissimo,permis de construire,NOM PRP VER:infi,4,False,,,,False
6,doctissimo,salle de bain,NOM PRP NOM,62,False,,,,False
7,doctissimo,fausse couche,ADJ NOM,474,True,D000022,Avortement spontané,"Abortion, Spontaneous",True
8,doctissimo,debut de grossesse,NOM PRP NOM,18,False,,,,False
9,doctissimo,sens super,NOM ADJ,14,False,,,,False
10,doctissimo,semaine prochaine,NOM ADJ,366,False,,,,False
11,doctissimo,mois du coup,NOM PRP:det NOM,6,False,,,,False
12,doctissimo,grand mère,ADJ NOM,82,True,,,,False
13,doctissimo,belle mère,ADJ NOM,47,False,,,,False
14,doctissimo,déjà commencé,ADV VER:pper,25,False,,,,False
15,doctissimo,commencé à acheter,VER:pper PRP VER:infi,6,False,,,,False
16,doctissimo,sentir bébé,VER:infi NOM,11,False,,,,False
17,doctissimo,déjà essayé,ADV VER:pper,86,False,,,,False
18,doctissimo,couches lavables,NOM ADJ,69,False,,,,True
19,doctissimo,pensez-vous,VER:pres PRO:PER,215,False,,,,False
20,doctissimo,grand chose,ADJ NOM,538,False,,,,False
22,doctissimo,point de vue,NOM PRP NOM,187,True,D016420,Commentaire,Comment,False
23,doctissimo,grosse différence,ADJ NOM,12,False,,,,False
24,doctissimo,coup de cœur,NOM PRP NOM,5,False,,,,False
25,doctissimo,coup de gueule,NOM PRP NOM,42,False,,,,False
27,doctissimo,tour de lit,NOM PRP NOM,35,False,,,,False
28,doctissimo,futur bébé,ADJ NOM,16,False,,,,False
29,doctissimo,glande thyroïde,NOM ADJ,4,False,,,,False
31,doctissimo,qu\'on m\'a,NOM VER:simp,18,False,,,,False
32,doctissimo,choses intéressantes,NOM ADJ,5,False,,,,False
33,doctissimo,taux de tsh,NOM PRP NOM,14,False,,,,False
34,doctissimo,qu\'en cas,ADJ NOM,13,False,,,,False
35,doctissimo,cas de stress,NOM PRP NOM,10,False,,,,False
36,doctissimo,perte d'appétit,NOM PRP NOM,37,False,,,,False
37,doctissimo,redevenue normale,VER:pper ADJ,9,False,,,,False
38,doctissimo,troubles digestifs,NOM ADJ,28,False,,,,False
40,doctissimo,tsh est normale,NOM VER:pres ADJ,6,False,,,,False
41,doctissimo,effets secondaires,NOM ADJ,670,False,,,,False
42,doctissimo,problèmes similaires,NOM ADJ,9,False,,,,False
44,doctissimo,redevenu normal,VER:pper ADJ,24,False,,,,False
45,doctissimo,grande fatigue,ADJ NOM,48,False,,,,False
48,doctissimo,genre de problème,NOM PRP NOM,59,False,,,,False
49,doctissimo,prenez rdv,VER:pres VER:pper,4,False,,,,False
50,doctissimo,rdv avec un spécialiste,VER:pper PRP DET:ART NOM,6,False,,,,False
51,doctissimo,vrai galère,ADJ NOM,3,False,,,,False
52,doctissimo,sécheresse oculaire,NOM ADJ,26,False,,,,False
53,doctissimo,vraiment pénible,ADV ADJ,14,False,,,,False
54,doctissimo,😉il faut,NAM VER:pres,3,False,,,,False
55,doctissimo,chance de tomber,NOM PRP VER:infi,15,False,,,,False
56,doctissimo,c\'est pareil,NOM ADJ,43,False,,,,False
57,doctissimo,ulcère cornéen,NOM ADJ,4,True,D003320,Ulcère de la cornée,Corneal Ulcer,False
58,doctissimo,remboursé par la sécu,VER:pper PRP DET:ART NOM,28,False,,,,False
60,doctissimo,acheté en pharmacie,VER:pper PRP NOM,11,False,,,,False
61,doctissimo,larmes artificielles,NOM ADJ,18,True,D065346,Gouttes oculaires lubrifiantes,Lubricant Eye Drops,True
62,doctissimo,durée indiquée,NOM VER:pper,4,False,,,,False
63,doctissimo,viens parmis,VER:pres NOM,3,False,,,,False
64,doctissimo,coin de l'oeil,NOM PRP DET:ART NOM,3,False,,,,False
65,doctissimo,donné des antibios,NOM PRP:det NOM,3,False,,,,False
