Address;Type;Title;Charset;Description
https://www.ophq.gouv.qc.ca/;text/html;Accueil - Office des personnes handicapées du Québec;utf-8;L’Office des personnes handicapées du Québec est un organisme gouvernemental qui contribue à accroître la participation sociale des personnes handicapées.
https://www.ophq.gouv.qc.ca/publications/publications-in-english.html;text/html;Publications in English - Office des personnes handicapées du Québec;utf-8;Download the Office des personnes handicapées du Québec publications translated into English: posters, inserts, guides, policies and much more await you!
https://www.ophq.gouv.qc.ca/services-directs/nos-services-directs-a-la-population.html;text/html;Services directs;utf-8;
https://www.ophq.gouv.qc.ca/services-directs/programmes-mesures-et-services.html;text/html;Programmes, mesures et services - Office des personnes handicapées du Québec;utf-8;
https://www.ophq.gouv.qc.ca/services-directs/partenariat.html;text/html;Partenariat - Office des personnes handicapées du Québec;utf-8;Les ententes de partenariat visent à assurer la coordination et la complémentarité entre les services de l'Office et ceux de diverses organisations. Il s'agit d'un des objectifs de l'Office des personnes handicapées du Québec qui consiste à établir des collaborations avec des partenaires impliqués dans l'offre de services aux personnes handicapées, à leur famille et à leurs proches. 
https://www.ophq.gouv.qc.ca/faq/faq-services-directs-a-la-population.html;text/html;FAQ - Services directs à la population - Office des personnes handicapées du Québec;utf-8;Cette foire aux questions présente une liste de réponses aux questions les plus fréquentes en lien avec les services de l'Office offerts aux personnes handicapées, à leur famille et à leurs proches.
https://www.ophq.gouv.qc.ca/subventions/soutien-aux-organismes-de-promotion.html;text/html;Soutien aux organismes de promotion - Office des personnes handicapées du Québec;utf-8;Présentation du Programme de soutien aux organismes de promotion de l'Office des personnes handicapées du Québec.
https://www.ophq.gouv.qc.ca/subventions/subventions-a-lexperimentation.html;text/html;Subventions à l'expérimentation - Office des personnes handicapées du Québec;utf-8;Présentation du programme de subventions à l’expérimentation de l'Office des personnes handicapées du Québec 
https://www.ophq.gouv.qc.ca/publications/outil-de-recherche.html?tx_ccwdocumentation_ccwdocumentation[category2]=52&tx;text/html;Outil de recherche - Office des personnes handicapées du Québec;utf-8;Page de recherche des publications de l’Office des personnes handicapées du Québec.
https://www.ophq.gouv.qc.ca/publications/guides-de-loffice/guides-pour-les-personnes-handicapees-leur-famille-et-leurs-proches.html;text/html;Guides pour les personnes handicapées, leur famille et leurs proches - Office des personnes handicapées du Québec;utf-8;Produits par l'Office des personnes handicapées du Québec, ces guides portent sur les programmes et mesures destinés aux personnes handicapées, leur famille et leurs proches, sur les mesures fiscales provinciales et fédérales, sur le parcours scolaire et sur le soutien à la famille. Ils sont disponibles en version imprimable, en version accessible et en version en langue des signes québécoise (LSQ) ainsi qu'en version papier et en médias adaptés en remplissant le formulaire de commande en ligne.
https://www.ophq.gouv.qc.ca/publications/cyberbulletins-de-loffice/express-o.html;text/html;Express-O - Office des personnes handicapées du Québec;utf-8;Consultation, abonnement et envoi d’information pour le cyberbulletin Express-O de l’Office des personnes handicapées du Québec.
https://www.ophq.gouv.qc.ca/publications/outil-de-recherche.html;text/html;Outil de recherche - Office des personnes handicapées du Québec;utf-8;Page de recherche des publications de l’Office des personnes handicapées du Québec.
https://www.ophq.gouv.qc.ca/publications/statistiques.html;text/html;Statistiques - Office des personnes handicapées du Québec;utf-8;Données statistiques relatives aux personnes handicapées et compilées par l’Office des personnes handicapées du Québec.
https://www.ophq.gouv.qc.ca/publications/actualites/quoi-de-neuf.html?no_cache=1;text/html;Quoi de neuf? - Office des personnes handicapées du Québec;utf-8;
https://www.ophq.gouv.qc.ca/loi-et-politiques/loi-assurant-lexercice-des-droits-des-personnes-handicapees.html;text/html;Loi assurant l'exercice des droits des personnes handicapées - Office des personnes handicapées du Québec;utf-8;Présentation de la Loi assurant l'exercice des droits des personnes handicapées en vue de leur intégration scolaire, professionnelle et sociale.  
https://www.ophq.gouv.qc.ca/loi-et-politiques/politique-a-part-entiere.html;text/html;Politique À part entière - Office des personnes handicapées du Québec;utf-8;Présentation de la politique gouvernementale À part entière : pour un véritable exercice du droit à l’égalité.
https://www.ophq.gouv.qc.ca/loi-et-politiques/politique-de-lacces-aux-documents-et-aux-services.html;text/html;Politique de l’accès aux documents et aux services - Office des personnes handicapées du Québec;utf-8;
